scenario,policy,week,planning_status,fulfillment_status,planning_solve_seconds,fulfillment_solve_seconds,planned_objective,demand_units,fulfilled_units,shortage_units,fill_rate,ordered_units,ending_inventory,procurement_cost,shipping_cost,risk_cost,holding_cost,shortage_cost,service_gap_cost,total_cost,expected_late_units,supplier_risk_units
shortage_low,ridge,2018-05-28,Optimal,Optimal,0.07176649998291396,0.02970362498308532,241936.81118305933,793.0,793.0,0.0,1.0,834.0,872.0,40325.124,12122.41,846.0219148201903,650.2664,0.0,0.0,53943.822314820194,63.00832882252988,68.39105684799021
shortage_low,ridge,2018-06-04,Optimal,Optimal,0.06680937501369044,0.028866874985396862,233902.66554967305,1082.0,1061.0,21.0,0.9805914972273567,715.0,645.0,33605.765999999996,16228.0,1116.8837584325533,502.0355,1338.5819999999999,0.0,52791.26725843255,82.80201335351683,90.89353032088377
shortage_low,ridge,2018-06-11,Optimal,Optimal,0.06766762500046752,0.06512162499711849,292832.300554259,1127.0,1010.0,117.0,0.8961845607808341,1214.0,350.0,56765.64,15450.244999999999,1050.9291705930534,270.1678,9363.51,486.67314000000005,83387.16511059305,76.59845267346311,87.62830984106971
shortage_low,ridge,2018-06-18,Optimal,Optimal,0.06734437501290813,0.02821999997831881,268419.1025774063,1115.0,1107.0,8.0,0.9928251121076234,1227.0,457.0,58015.164000000004,16491.465,1163.0539894502967,346.9189,640.24,0.0,76656.84188945031,85.62313647402323,95.61377953162214
shortage_low,ridge,2018-06-25,Optimal,Optimal,0.06692358400323428,0.029339959000935778,242036.1689676891,1096.0,1096.0,0.0,1.0,967.0,588.0,44653.32,16613.1,1167.8521838158217,465.15430000000003,0.0,0.0,62899.42648381582,85.9773908477405,96.00661140677956
shortage_low,ridge,2018-07-02,Optimal,Optimal,0.06686729201464914,0.028718957997625694,237400.19670573843,922.0,922.0,0.0,1.0,940.0,633.0,42671.508,13830.005,972.6350512114336,492.0214,0.0,0.0,57966.16945121143,71.41250608133144,80.26700051215637
shortage_low,ridge,2018-07-09,Optimal,Optimal,0.06463758400059305,0.038239624991547316,221983.51330355176,695.0,695.0,0.0,1.0,736.0,878.0,34411.536,11223.79,746.2953280957618,630.2176000000001,0.0,0.0,47011.83892809576,57.05457925002887,57.97173881910615
shortage_low,ridge,2018-07-16,Optimal,Optimal,0.06759295900701545,0.036020209023263305,211928.82564896933,1202.0,1152.0,50.0,0.9584026622296173,513.0,462.0,26873.718,17554.425,1231.2311333584648,319.3022,5887.74,0.0,51866.416333358466,90.90571229136998,100.79708700550098
shortage_low,ridge,2018-07-23,Optimal,Optimal,0.06451929101604037,0.030234750011004508,311584.087380574,1207.0,962.0,245.0,0.7970173985086992,1309.0,13.0,61219.716,14424.664999999999,987.404398998417,14.697000000000001,17600.902,14090.885100000001,108338.26949899842,71.1954870566375,83.5681005090634
shortage_low,ridge,2018-07-30,Optimal,Optimal,0.09203445797902532,0.03472624998539686,269932.3920393451,1482.0,1294.0,188.0,0.873144399460189,1288.0,28.0,58954.398,19322.605,1354.1945738598347,17.972,12847.376,4504.55604,97001.10161385984,100.05820887123234,110.74578057799518
shortage_low,ridge,2018-08-06,Optimal,Optimal,0.06815741598256864,0.029358166008023545,311382.2895105735,1451.0,1270.0,181.0,0.8752584424534804,1396.0,46.0,64914.630000000005,18850.03,1328.0594936787234,29.453999999999997,13033.43,4085.7907800000007,102241.39427367873,96.89610441604862,110.57813167006687
shortage_low,ridge,2018-08-13,Optimal,Optimal,0.07001750002382323,0.0374460419989191,304507.0995026719,1366.0,1320.0,46.0,0.9663250366032211,1423.0,122.0,65375.586,19536.579999999998,1384.071968240383,96.47840000000001,3374.708,0.0,89767.42436824039,101.16786753087896,114.94580559867023
shortage_low,ridge,2018-08-20,Optimal,Optimal,0.06698583299294114,0.027813041990157217,313580.1767351114,729.0,729.0,0.0,1.0,1352.0,816.0,62611.896,10373.565,756.2942983417887,626.4794,0.0,0.0,74368.23469834178,55.383933455823716,62.644566139039796
shortage_high,ridge,2018-05-28,Optimal,Optimal,0.06436387498979457,0.030203500005882233,241970.7071060831,793.0,793.0,0.0,1.0,847.0,872.0,40723.614,12122.41,846.0219148201903,650.2664,0.0,0.0,54342.312314820185,63.00832882252988,68.39105684799021
shortage_high,ridge,2018-06-04,Optimal,Optimal,0.06503733299905434,0.02844850000110455,233550.33556634063,1082.0,1061.0,21.0,0.9805914972273567,716.0,658.0,33654.15,16228.0,1116.8837584325533,508.677,2838.99,0.0,54346.700758432555,82.80201335351683,90.89353032088377
shortage_high,ridge,2018-06-11,Optimal,Optimal,0.06854695800575428,0.039111249992856756,318352.7468746208,1127.0,1010.0,117.0,0.8961845607808341,1204.0,364.0,56443.332,15448.789999999999,1049.9865813342417,277.6157,20581.47,1060.8186,94862.01288133425,76.50134474149918,87.59516468044961
shortage_high,ridge,2018-06-18,Optimal,Optimal,0.06900333298835903,0.02919416598160751,270578.6350816086,1115.0,1107.0,8.0,0.9928251121076234,1223.0,461.0,57890.598,16491.465,1163.0539894502967,348.995,1407.28,0.0,77301.3919894503,85.62313647402323,95.61377953162214
