scenario,policy,origin_week,hub,category,ending_inventory
base,last_week,2018-06-04,SC,housewares,0.0
base,last_week,2018-06-04,SC,sports_leisure,0.0
base,last_week,2018-06-04,SC,telephony,1.0
base,last_week,2018-06-04,SC,watches_gifts,5.0
base,last_week,2018-06-04,RS,auto,0.0
base,last_week,2018-06-04,RS,bed_bath_table,0.0
base,last_week,2018-06-04,RS,computers_accessories,0.0
base,last_week,2018-06-04,RS,furniture_decor,0.0
base,last_week,2018-06-04,RS,garden_tools,2.0
base,last_week,2018-06-04,RS,health_beauty,0.0
base,last_week,2018-06-04,RS,housewares,0.0
base,last_week,2018-06-04,RS,sports_leisure,0.0
base,last_week,2018-06-04,RS,telephony,0.0
base,last_week,2018-06-04,RS,watches_gifts,1.0
base,last_week,2018-06-11,SP,auto,0.0
base,last_week,2018-06-11,SP,bed_bath_table,0.0
base,last_week,2018-06-11,SP,computers_accessories,0.0
base,last_week,2018-06-11,SP,furniture_decor,41.0
base,last_week,2018-06-11,SP,garden_tools,0.0
base,last_week,2018-06-11,SP,health_beauty,0.0
base,last_week,2018-06-11,SP,housewares,21.0
base,last_week,2018-06-11,SP,sports_leisure,0.0
base,last_week,2018-06-11,SP,telephony,3.0
base,last_week,2018-06-11,SP,watches_gifts,0.0
base,last_week,2018-06-11,PR,auto,0.0
base,last_week,2018-06-11,PR,bed_bath_table,0.0
base,last_week,2018-06-11,PR,computers_accessories,0.0
base,last_week,2018-06-11,PR,furniture_decor,3.0
base,last_week,2018-06-11,PR,garden_tools,3.0
base,last_week,2018-06-11,PR,health_beauty,0.0
base,last_week,2018-06-11,PR,housewares,0.0
base,last_week,2018-06-11,PR,sports_leisure,23.0
base,last_week,2018-06-11,PR,telephony,2.0
base,last_week,2018-06-11,PR,watches_gifts,0.0
base,last_week,2018-06-11,MG,auto,0.0
base,last_week,2018-06-11,MG,bed_bath_table,0.0
base,last_week,2018-06-11,MG,computers_accessories,0.0
base,last_week,2018-06-11,MG,furniture_decor,24.0
base,last_week,2018-06-11,MG,garden_tools,14.0
base,last_week,2018-06-11,MG,health_beauty,0.0
base,last_week,2018-06-11,MG,housewares,0.0
base,last_week,2018-06-11,MG,sports_leisure,0.0
base,last_week,2018-06-11,MG,telephony,0.0
base,last_week,2018-06-11,MG,watches_gifts,0.0
base,last_week,2018-06-11,RJ,auto,0.0
base,last_week,2018-06-11,RJ,bed_bath_table,0.0
base,last_week,2018-06-11,RJ,computers_accessories,0.0
base,last_week,2018-06-11,RJ,furniture_decor,0.0
base,last_week,2018-06-11,RJ,garden_tools,3.0
base,last_week,2018-06-11,RJ,health_beauty,0.0
base,last_week,2018-06-11,RJ,housewares,0.0
