category,region,weeks,total_demand,mean_weekly_demand,std_weekly_demand,coefficient_of_variation,zero_week_share,maximum_weekly_demand,weekly_trend_slope,demand_share
bed_bath_table,Southeast,86,8420.0,97.90697674418605,52.26395178930452,0.5338123341900461,0.0,344.0,1.4823529411764704,0.11798831327158331
health_beauty,Southeast,86,6468.0,75.20930232558139,46.465449853582165,0.6178151959505359,0.0,185.0,1.640511344874758,0.09063520311646091
sports_leisure,Southeast,86,5824.0,67.72093023255815,33.18279184183581,0.48999314876337213,0.011627906976744186,156.0,0.9185716307372989,0.08161091882347996
furniture_decor,Southeast,86,5675.0,65.98837209302326,33.739310005862336,0.5112917463443455,0.0,255.0,0.623925656870607,0.07952300211594243
computers_accessories,Southeast,86,5305.0,61.68604651162791,42.70948692735387,0.6923686853444737,0.011627906976744186,209.0,1.0413793103448274,0.07433824250662108
housewares,Southeast,86,5063.0,58.872093023255815,33.806298233814324,0.5742329938984855,0.011627906976744186,159.0,1.0818340487758855,0.07094712946484873
watches_gifts,Southeast,86,3936.0,45.76744186046512,32.32470350843678,0.7062816315359661,0.0,157.0,1.0466154063870934,0.055154631952132056
garden_tools,Southeast,86,2921.0,33.96511627906977,22.91541873648991,0.6746751151448588,0.011627906976744186,182.0,0.3456106420114155,0.040931575186020766
auto,Southeast,86,2778.0,32.30232558139535,21.2946111755129,0.6592284237199818,0.023255813953488372,91.0,0.6783527524883247,0.03892773566133711
telephony,Southeast,86,2672.0,31.069767441860463,16.130198713392087,0.5191605873322304,0.011627906976744186,86.0,0.36558328223029374,0.03744237209758559
furniture_decor,South,86,1419.0,16.5,10.138743395858228,0.6144692967186804,0.011627906976744186,58.0,0.20607575829048536,0.019884253744937852
bed_bath_table,South,86,1407.0,16.36046511627907,8.782218386098227,0.5367951536634311,0.023255813953488372,52.0,0.19815085617246092,0.019716099379230134
sports_leisure,South,86,1317.0,15.313953488372093,8.782685677824196,0.5735087078913295,0.011627906976744186,39.0,0.1799990565592716,0.018454941636422237
computers_accessories,South,86,1191.0,13.848837209302326,10.598021393427189,0.7652643491475551,0.03488372093023256,50.0,0.19592433605358742,0.01668932079649118
health_beauty,South,86,1158.0,13.465116279069768,7.968611473139441,0.591796706986176,0.023255813953488372,37.0,0.21963300155667714,0.016226896290794948
health_beauty,Northeast,86,1135.0,13.19767441860465,7.4119454736603645,0.5616099654051026,0.0,30.0,0.22373696872493978,0.015904600423188486
housewares,South,86,1034.0,12.023255813953488,7.603368826399252,0.6323885097392028,0.011627906976744186,33.0,0.20557573470446716,0.014489301178481847
watches_gifts,Northeast,86,783.0,9.104651162790697,7.2712634548489685,0.7986317459987373,0.06976744186046512,31.0,0.22292560969857061,0.01097207236242871
sports_leisure,Northeast,86,758.0,8.813953488372093,4.815444828043289,0.5463433446064946,0.03488372093023256,21.0,0.06934289353271378,0.010621750767204294
computers_accessories,Northeast,86,726.0,8.44186046511628,5.773376321097287,0.6838985724715794,0.05813953488372093,29.0,0.12147742818057454,0.010173339125317041
watches_gifts,South,86,725.0,8.430232558139535,6.176884228218127,0.7327062670713916,0.09302325581395349,29.0,0.17865937072503416,0.010159326261508065
telephony,South,86,715.0,8.313953488372093,5.3846440221123295,0.6476634767855389,0.023255813953488372,32.0,0.09739138638615026,0.010019197623418298
telephony,Northeast,86,688.0,8.0,5.449230922530154,0.6811538653162692,0.06976744186046512,31.0,0.08247558847115428,0.009640850300575928
garden_tools,South,86,681.0,7.9186046511627906,6.082211510102651,0.7680913213932863,0.023255813953488372,40.0,0.05554035567715459,0.009542760253913093
furniture_decor,Northeast,86,633.0,7.3604651162790695,5.128725998662539,0.6967937375750053,0.03488372093023256,30.0,0.06605028539082028,0.008870142791082213
health_beauty,Central-West,86,627.0,7.290697674418604,5.579091806905214,0.7652342829247981,0.05813953488372093,27.0,0.14665786121986885,0.008786065608228354
bed_bath_table,Northeast,86,606.0,7.046511627906977,4.292008926979878,0.6090969764360883,0.046511627906976744,19.0,0.06838058398981084,0.008491795468239844
auto,South,86,601.0,6.988372093023256,4.839771958766145,0.6925464034174518,0.011627906976744186,18.0,0.14171423180338688,0.00842173114919496
bed_bath_table,Central-West,86,578.0,6.72093023255814,4.6694278848212045,0.694759166253674,0.08139534883720931,25.0,0.07849426859757531,0.008099435281588498
sports_leisure,Central-West,86,541.0,6.290697674418604,4.095524900840709,0.6510446237935323,0.03488372093023256,23.0,0.0764658710316524,0.0075809593206563625
auto,Northeast,86,457.0,5.313953488372093,3.997827727527499,0.7523264432546279,0.046511627906976744,21.0,0.09891976036605499,0.006403878760702325
garden_tools,Northeast,86,417.0,4.848837209302325,4.549123876503656,0.9381886172165814,0.05813953488372093,35.0,0.033765743667154104,0.0058433642083432595
furniture_decor,Central-West,86,415.0,4.825581395348837,3.9173576342316925,0.81178977480464,0.06976744186046512,15.0,0.06752205292702483,0.005815338480725306
computers_accessories,Central-West,86,404.0,4.6976744186046515,4.107581992141048,0.8743862656537874,0.05813953488372093,19.0,0.06762583140714182,0.005661196978826563
watches_gifts,Central-West,86,392.0,4.558139534883721,3.7309662875888456,0.8185283181955121,0.12790697674418605,16.0,0.10779753761969901,0.005493042613118843
