category,region,method,observations,actual_units,MAE,WAPE,bias,wape_rank,is_best_wape
auto,Central-West,moving_average,13,62.0,2.230769230769231,0.46774193548387094,-0.23076923076923078,1.0,True
auto,Central-West,ridge,13,62.0,2.9350827751471025,0.6154205818856828,-1.249805388191805,2.0,False
auto,Central-West,last_week,13,62.0,3.3076923076923075,0.6935483870967742,-0.07692307692307693,3.0,False
auto,North,moving_average,13,21.0,1.3653846153846154,0.8452380952380952,-0.09615384615384616,1.0,True
auto,North,last_week,13,21.0,1.5384615384615385,0.9523809523809523,0.0,2.0,False
auto,North,ridge,13,21.0,1.5402270448464996,0.953473884904976,-0.9704274593001152,3.0,False
auto,Northeast,moving_average,13,119.0,4.211538461538462,0.46008403361344535,-0.7884615384615384,1.0,True
auto,Northeast,ridge,13,119.0,4.5254134398322,0.4943728967883916,-1.8309331062037548,2.0,False
auto,Northeast,last_week,13,119.0,5.153846153846154,0.5630252100840336,-0.07692307692307693,3.0,False
auto,South,moving_average,13,157.0,3.0,0.2484076433121019,-0.6538461538461539,1.0,True
auto,South,ridge,13,157.0,3.3395525542151865,0.2765234599031683,-1.4174915165400017,2.0,False
auto,South,last_week,13,157.0,3.769230769230769,0.31210191082802546,-0.38461538461538464,3.0,False
auto,Southeast,ridge,13,673.0,13.755472615323196,0.26570749479821926,-0.10462200552952357,1.0,True
auto,Southeast,last_week,13,673.0,14.846153846153847,0.2867756315007429,-1.1538461538461537,2.0,False
auto,Southeast,moving_average,13,673.0,17.653846153846153,0.3410104011887073,-2.6538461538461537,3.0,False
bed_bath_table,Central-West,ridge,13,88.0,2.830399528277265,0.4181272030409596,1.2436960175713168,1.0,True
bed_bath_table,Central-West,moving_average,13,88.0,2.923076923076923,0.4318181818181818,-0.038461538461538464,2.0,False
bed_bath_table,Central-West,last_week,13,88.0,3.3076923076923075,0.48863636363636365,0.23076923076923078,3.0,False
bed_bath_table,North,moving_average,13,7.0,0.7884615384615384,1.4642857142857142,0.09615384615384616,1.0,True
bed_bath_table,North,last_week,13,7.0,1.0,1.8571428571428572,0.07692307692307693,2.0,False
bed_bath_table,North,ridge,13,7.0,1.5911565466057307,2.9550050151249283,1.30602626564036,3.0,False
bed_bath_table,Northeast,moving_average,13,90.0,3.673076923076923,0.5305555555555556,0.5192307692307693,1.0,True
bed_bath_table,Northeast,ridge,13,90.0,4.594342707880592,0.6636272800271965,2.0848321150273303,2.0,False
bed_bath_table,Northeast,last_week,13,90.0,5.153846153846154,0.7444444444444445,0.23076923076923078,3.0,False
bed_bath_table,South,moving_average,13,233.0,6.634615384615385,0.3701716738197425,0.4807692307692308,1.0,True
bed_bath_table,South,ridge,13,233.0,7.33935897795721,0.4094921318173551,1.995190962042496,2.0,False
bed_bath_table,South,last_week,13,233.0,8.615384615384615,0.48068669527896996,0.6153846153846154,3.0,False
bed_bath_table,Southeast,ridge,13,1698.0,32.16619246010627,0.24626649115511276,-3.9829382211958606,1.0,True
bed_bath_table,Southeast,last_week,13,1698.0,34.61538461538461,0.26501766784452296,1.0769230769230769,2.0,False
bed_bath_table,Southeast,moving_average,13,1698.0,38.75,0.2966725559481743,0.1346153846153846,3.0,False
computers_accessories,Central-West,ridge,13,61.0,2.5867860543413004,0.5512822738760148,0.30345426580967366,1.0,True
computers_accessories,Central-West,last_week,13,61.0,3.0,0.639344262295082,0.07692307692307693,2.0,False
computers_accessories,Central-West,moving_average,13,61.0,3.4423076923076925,0.7336065573770492,0.1346153846153846,3.0,False
computers_accessories,North,last_week,13,27.0,2.076923076923077,1.0,0.07692307692307693,1.0,True
computers_accessories,North,ridge,13,27.0,2.2530226870315975,1.084788701163362,-0.20355816740683033,2.0,False
computers_accessories,North,moving_average,13,27.0,2.8846153846153846,1.3888888888888888,0.19230769230769232,3.0,False
computers_accessories,Northeast,moving_average,13,118.0,2.980769230769231,0.3283898305084746,1.0961538461538463,1.0,True
computers_accessories,Northeast,ridge,13,118.0,3.4411622694204294,0.3791110974785219,1.1787284417892012,2.0,False
computers_accessories,Northeast,last_week,13,118.0,3.923076923076923,0.4322033898305085,0.6923076923076923,3.0,False
computers_accessories,South,moving_average,13,183.0,4.038461538461538,0.28688524590163933,0.3076923076923077,1.0,True
computers_accessories,South,ridge,13,183.0,4.539562914666272,0.32248261142437995,0.31329397844701856,2.0,False
computers_accessories,South,last_week,13,183.0,4.615384615384615,0.32786885245901637,0.3076923076923077,3.0,False
computers_accessories,Southeast,ridge,13,894.0,18.865854102720377,0.2743356860574552,1.1840154340398312,1.0,True
computers_accessories,Southeast,last_week,13,894.0,21.692307692307693,0.31543624161073824,0.0,2.0,False
computers_accessories,Southeast,moving_average,13,894.0,21.807692307692307,0.31711409395973156,-0.8076923076923077,3.0,False
furniture_decor,Central-West,ridge,13,55.0,2.2546768757294426,0.5329236251724138,1.141333961364274,1.0,True
furniture_decor,Central-West,moving_average,13,55.0,2.4038461538461537,0.5681818181818182,1.2884615384615385,2.0,False
furniture_decor,Central-West,last_week,13,55.0,2.923076923076923,0.6909090909090909,0.6153846153846154,3.0,False
furniture_decor,North,moving_average,13,25.0,2.1538461538461537,1.12,0.19230769230769232,1.0,True
furniture_decor,North,ridge,13,25.0,2.205070512705054,1.146636666606628,-0.270501317414467,2.0,False
furniture_decor,North,last_week,13,25.0,2.5384615384615383,1.32,0.07692307692307693,3.0,False
furniture_decor,Northeast,moving_average,13,90.0,2.9038461538461537,0.41944444444444445,0.5961538461538461,1.0,True
furniture_decor,Northeast,ridge,13,90.0,3.090329831070584,0.44638097559908435,0.628686452464274,2.0,False
