hub,category,region,sample_size,raw_late_dispatch_rate,raw_late_delivery_rate,median_freight,median_approval_to_carrier_days,shipping_cost,late_probability,supplier_risk,expected_risk_cost_per_unit,risk_adjusted_route_cost,evidence_level
RS,sports_leisure,Northeast,7,0.14285714285714285,0.2857142857142857,30.22,4.664537037037037,30.22,0.11491213374924984,0.06475793202476177,1.2430867301178075,31.463086730117805,low
SP,health_beauty,Central-West,382,0.08136482939632546,0.10344827586206896,16.735,1.728935185185185,16.735,0.1015201689744381,0.0852312442959161,1.2383175732750853,17.973317573275086,high
SP,furniture_decor,North,97,0.10309278350515463,0.0851063829787234,27.84,1.949849537037037,27.84,0.08392488075556971,0.11310475074477826,1.236922799768449,29.07692279976845,high
RJ,watches_gifts,North,17,0.11764705882352941,0.0,27.9,2.1103472222222224,27.9,0.05435210802824026,0.15882627750002945,1.2289482517260693,29.12894825172607,medium
SC,computers_accessories,North,1,1.0,,36.82,10.19425925925926,36.82,0.08075170335624267,0.11606681808917339,1.2263477172958082,38.04634771729581,low
RS,housewares,South,76,0.05405405405405406,0.08108108108108109,16.825,1.851724537037037,16.825,0.08097531759145406,0.11467121491713825,1.2211586153173237,18.046158615317324,high
MG,bed_bath_table,Northeast,23,0.21739130434782608,0.08695652173913043,25.25,2.8760879629629628,25.25,0.08321223478393955,0.1110357686898475,1.220876721720754,26.470876721720753,medium
PR,watches_gifts,Northeast,26,0.038461538461538464,0.11538461538461539,35.19,1.5383217592592593,35.19,0.09551327241751628,0.09098214998685805,1.2190169292744204,36.409016929274415,medium
MG,furniture_decor,Central-West,29,0.06896551724137931,0.034482758620689655,17.73,3.007997685185185,17.73,0.05978608777294521,0.14753913087566187,1.2159843565618709,18.945984356561873,medium
RS,telephony,Northeast,3,0.0,0.3333333333333333,40.94,4.1817824074074075,40.94,0.10069235835443403,0.08193913711579924,1.2152345524144685,42.15523455241447,low
SP,computers_accessories,Southeast,2376,0.10596310596310596,0.08727746417716023,12.79,1.8928935185185185,12.79,0.08717977314690697,0.10332894174992856,1.2140828939248984,14.004082893924897,high
MG,furniture_decor,Southeast,432,0.1595238095238095,0.05755395683453238,17.97,2.516134259259259,17.97,0.05935024251652321,0.14753913087566187,1.212497594510495,19.182497594510494,high
SC,bed_bath_table,North,1,1.0,0.0,38.14,7.4276736111111115,38.14,0.07850860048523593,0.11637478898893544,1.2099427488265646,39.349942748826564,low
PR,housewares,Northeast,5,0.2,0.2,47.79,3.4283333333333332,47.79,0.09565774043671234,0.08813305759669116,1.2059272114771544,48.99592721147715,low
RS,housewares,North,1,0.0,0.0,44.61,2.5576041666666667,44.61,0.07850860048523593,0.11467121491713825,1.2014248784675787,45.81142487846758,low
SC,bed_bath_table,Central-West,15,0.06666666666666667,0.06666666666666667,41.33,0.8438657407407407,41.33,0.07652619234936987,0.11637478898893544,1.1940834837396364,42.52408348373964,medium
SP,furniture_decor,Southeast,4314,0.11163227016885553,0.07839433293978748,14.0,2.2021875,14.0,0.07841365564811908,0.11310475074477826,1.192832998908844,15.192832998908845,high
RJ,health_beauty,South,108,0.027777777777777776,0.1388888888888889,18.799999999999997,1.207847222222222,18.799999999999997,0.12465950781446498,0.03814409846992238,1.1879965548653317,19.98799655486533,high
RJ,bed_bath_table,North,1,0.0,0.0,44.2,2.754236111111111,44.2,0.07850860048523593,0.1116024787646289,1.186081197705032,45.38608119770503,low
SC,telephony,North,2,0.0,0.0,87.34,3.74671875,87.34,0.07638674641806739,0.11494532934395214,1.1858206180642998,88.5258206180643,low
RJ,auto,Northeast,17,0.0,0.11764705882352941,25.63,1.0943634259259258,25.63,0.09281364648977872,0.08546279654592497,1.1698231546478546,26.799823154647854,medium
RS,housewares,Central-West,3,0.0,0.0,44.61,2.174074074074074,44.61,0.07437656888074982,0.11467121491713825,1.1683686256316899,45.77836862563169,low
SP,watches_gifts,North,117,0.06086956521739131,0.11711711711711711,26.6,1.2250231481481482,26.6,0.10839938094156502,0.05938900733503137,1.164140084207677,27.76414008420768,high
MG,furniture_decor,South,58,0.08620689655172414,0.03571428571428571,26.89,3.019230324074074,26.89,0.0530363694227307,0.14753913087566187,1.161986609760155,28.051986609760156,high
SC,health_beauty,Southeast,159,0.15723270440251572,0.05063291139240506,18.5,2.2050347222222224,18.5,0.05609486848429271,0.14255279171458166,1.1615229064472499,19.66152290644725,high
SC,telephony,Central-West,4,0.0,0.0,30.1,1.977355324074074,30.1,0.07246947737098701,0.11494532934395214,1.1544824656876567,31.25448246568766,low
PR,garden_tools,Northeast,18,0.058823529411764705,0.11764705882352941,33.895,1.7495023148148148,33.895,0.09281364648977872,0.08203259122870159,1.1526721280617376,35.04767212806174,medium
PR,sports_leisure,Northeast,80,0.05128205128205128,0.14102564102564102,36.44,1.2429976851851854,36.44,0.12235672227848224,0.033031110872583085,1.1440093325907734,37.584009332590774,high
SC,housewares,Northeast,24,0.041666666666666664,0.17391304347826086,54.129999999999995,0.9315162037037037,54.129999999999995,0.1176949934046292,0.040413899860415346,1.1436294465391104,55.273629446539104,medium
RS,auto,Central-West,8,0.0,0.0,37.965,2.9756365740740742,37.965,0.06572813063880217,0.12302886096171617,1.1409693499189983,39.105969349919,low
SC,computers_accessories,Southeast,91,0.16483516483516483,0.06593406593406594,16.79,1.9255208333333333,16.79,0.07005007632911502,0.11606681808917339,1.1407347010787872,17.930734701078787,high
PR,health_beauty,North,12,0.08333333333333333,0.16666666666666666,30.174999999999997,1.9679513888888889,30.174999999999997,0.10268743866954241,0.06354763004144001,1.1392376595635394,31.31423765956354,medium
PR,garden_tools,North,7,0.0,0.14285714285714285,47.61,2.583090277777778,47.61,0.09110260993972603,0.08203259122870159,1.1389838356613162,48.74898383566131,low
MG,auto,North,7,0.14285714285714285,0.14285714285714285,62.64,1.6670949074074075,62.64,0.09110260993972603,0.08196334398415608,1.1386375994385887,63.77863759943859,low
SP,telephony,Central-West,266,0.07604562737642585,0.08108108108108109,15.23,2.367395833333333,15.23,0.08104186944717175,0.09768644047983457,1.1367671579765468,16.366767157976547,high
PR,auto,Northeast,18,0.1111111111111111,0.1111111111111111,33.114999999999995,0.8979398148148148,33.114999999999995,0.09106244561261308,0.08020127879952639,1.1295059588985366,34.24450595889853,medium
SC,furniture_decor,South,19,0.05263157894736842,0.10526315789473684,16.52,2.4182175925925926,16.52,0.08937610402719433,0.08091766942473151,1.1195971793412123,17.639597179341212,medium
SC,health_beauty,South,60,0.15,0.03333333333333333,15.48,2.1628819444444445,15.48,0.0508032591312473,0.14255279171458166,1.1191900316228867,16.599190031622886,high
RJ,health_beauty,Northeast,95,0.021505376344086023,0.12903225806451613,34.78,1.2629976851851852,34.78,0.1158305438864726,0.03814409846992238,1.1173648434413928,35.897364843441395,high
RS,health_beauty,Southeast,93,0.14130434782608695,0.03260869565217391,17.75,2.8475868055555553,17.75,0.04587645368085428,0.14968929341437812,1.1154580965187249,18.865458096518726,high
RJ,bed_bath_table,Northeast,6,0.0,0.0,31.445,1.9065162037037038,31.445,0.0689343809138657,0.1116024787646289,1.10948744113407,32.55448744113407,low
SC,computers_accessories,Northeast,8,0.25,0.0,42.38,5.668564814814815,42.38,0.06572813063880217,0.11606681808917339,1.1061591355562843,43.486159135556285,low
PR,furniture_decor,South,274,0.10948905109489052,0.07380073800738007,17.115,1.9464583333333332,17.115,0.07459578306362252,0.10182070056256835,1.1058697673218219,18.22086976732182,high
SC,furniture_decor,Northeast,9,0.3333333333333333,0.1111111111111111,34.15,3.425972222222222,34.15,0.08696158221519303,0.08091766942473151,1.1002810048452019,35.2502810048452,low
RJ,health_beauty,Central-West,79,0.01282051282051282,0.1282051282051282,18.94,1.7820949074074073,18.94,0.11350716475635834,0.03814409846992238,1.0987778104004786,20.03877781040048,high
SP,garden_tools,Southeast,2060,0.09095354523227384,0.07911547911547911,14.44,2.5344444444444445,14.44,0.0791431447427384,0.09298103520062254,1.0980503339450198,15.53805033394502,high
PR,furniture_decor,Central-West,48,0.0625,0.06666666666666667,26.84,1.8873958333333332,26.84,0.07282887021835617,0.10182070056256835,1.0917344645596911,27.931734464559693,high
MG,computers_accessories,Northeast,194,0.036458333333333336,0.08602150537634409,22.134999999999998,2.2514409722222224,22.134999999999998,0.08518692134601127,0.08151143618139821,1.0890525516750813,23.22405255167508,high
RJ,furniture_decor,Northeast,13,0.07692307692307693,0.07692307692307693,21.15,1.9962615740740741,21.15,0.07971478369726027,0.08967372314350126,1.0860868852955885,22.236086885295588,medium
SP,health_beauty,Southeast,4370,0.09103512014787431,0.08237772057102738,12.19,1.7532407407407407,12.19,0.08236451012476056,0.0852312442959161,1.085072302477665,13.275072302477664,high
MG,sports_leisure,Northeast,62,0.11290322580645161,0.05,22.85,2.6570949074074073,22.85,0.06132957492072098,0.11745801602210397,1.0779266794762878,23.92792667947629,high
SC,telephony,South,10,0.0,0.0,15.305,2.0233391203703706,15.305,0.06280688038818874,0.11494532934395214,1.0771816898252706,16.38218168982527,medium
RJ,bed_bath_table,Central-West,9,0.0,0.0,19.25,1.1175810185185184,19.25,0.0642343094879203,0.1116024787646289,1.071886869726507,20.321886869726505,low
