scenario,policy,origin_week,target_week,horizon,category,region,planned_shortage
base,last_week,2018-05-28,2018-05-28,1,furniture_decor,Southeast,0.0
base,last_week,2018-05-28,2018-06-04,2,furniture_decor,Southeast,0.0
base,last_week,2018-05-28,2018-06-11,3,furniture_decor,Southeast,0.0
base,last_week,2018-05-28,2018-06-18,4,furniture_decor,Southeast,0.0
base,last_week,2018-05-28,2018-05-28,1,garden_tools,Central-West,0.0
base,last_week,2018-05-28,2018-06-04,2,garden_tools,Central-West,0.0
base,last_week,2018-05-28,2018-06-11,3,garden_tools,Central-West,0.0
base,last_week,2018-05-28,2018-06-18,4,garden_tools,Central-West,0.0
base,last_week,2018-05-28,2018-05-28,1,garden_tools,North,0.0
base,last_week,2018-05-28,2018-06-04,2,garden_tools,North,0.0
base,last_week,2018-05-28,2018-06-11,3,garden_tools,North,0.0
base,last_week,2018-05-28,2018-06-18,4,garden_tools,North,0.0
base,last_week,2018-05-28,2018-05-28,1,garden_tools,Northeast,0.0
base,last_week,2018-05-28,2018-06-04,2,garden_tools,Northeast,0.0
base,last_week,2018-05-28,2018-06-11,3,garden_tools,Northeast,0.0
base,last_week,2018-05-28,2018-06-18,4,garden_tools,Northeast,0.0
base,last_week,2018-05-28,2018-05-28,1,garden_tools,South,0.0
base,last_week,2018-05-28,2018-06-04,2,garden_tools,South,0.0
base,last_week,2018-05-28,2018-06-11,3,garden_tools,South,0.0
base,last_week,2018-05-28,2018-06-18,4,garden_tools,South,0.0
base,last_week,2018-05-28,2018-05-28,1,garden_tools,Southeast,0.0
base,last_week,2018-05-28,2018-06-04,2,garden_tools,Southeast,0.0
base,last_week,2018-05-28,2018-06-11,3,garden_tools,Southeast,0.0
base,last_week,2018-05-28,2018-06-18,4,garden_tools,Southeast,0.0
base,last_week,2018-05-28,2018-05-28,1,health_beauty,Central-West,0.0
base,last_week,2018-05-28,2018-06-04,2,health_beauty,Central-West,0.0
base,last_week,2018-05-28,2018-06-11,3,health_beauty,Central-West,0.0
base,last_week,2018-05-28,2018-06-18,4,health_beauty,Central-West,0.0
base,last_week,2018-05-28,2018-05-28,1,health_beauty,North,0.0
base,last_week,2018-05-28,2018-06-04,2,health_beauty,North,0.0
base,last_week,2018-05-28,2018-06-11,3,health_beauty,North,0.0
base,last_week,2018-05-28,2018-06-18,4,health_beauty,North,0.0
base,last_week,2018-05-28,2018-05-28,1,health_beauty,Northeast,0.0
base,last_week,2018-05-28,2018-06-04,2,health_beauty,Northeast,0.0
base,last_week,2018-05-28,2018-06-11,3,health_beauty,Northeast,0.0
base,last_week,2018-05-28,2018-06-18,4,health_beauty,Northeast,0.0
base,last_week,2018-05-28,2018-05-28,1,health_beauty,South,0.0
base,last_week,2018-05-28,2018-06-04,2,health_beauty,South,0.0
base,last_week,2018-05-28,2018-06-11,3,health_beauty,South,0.0
base,last_week,2018-05-28,2018-06-18,4,health_beauty,South,0.0
base,last_week,2018-05-28,2018-05-28,1,health_beauty,Southeast,0.0
base,last_week,2018-05-28,2018-06-04,2,health_beauty,Southeast,0.0
base,last_week,2018-05-28,2018-06-11,3,health_beauty,Southeast,0.0
base,last_week,2018-05-28,2018-06-18,4,health_beauty,Southeast,0.0
base,last_week,2018-05-28,2018-05-28,1,housewares,Central-West,0.0
base,last_week,2018-05-28,2018-06-04,2,housewares,Central-West,0.0
base,last_week,2018-05-28,2018-06-11,3,housewares,Central-West,0.0
base,last_week,2018-05-28,2018-06-18,4,housewares,Central-West,0.0
base,last_week,2018-05-28,2018-05-28,1,housewares,North,0.0
base,last_week,2018-05-28,2018-06-04,2,housewares,North,0.0
base,last_week,2018-05-28,2018-06-11,3,housewares,North,0.0
base,last_week,2018-05-28,2018-06-18,4,housewares,North,0.0
base,last_week,2018-05-28,2018-05-28,1,housewares,Northeast,0.0
base,last_week,2018-05-28,2018-06-04,2,housewares,Northeast,0.0
base,last_week,2018-05-28,2018-06-11,3,housewares,Northeast,0.0
base,last_week,2018-05-28,2018-06-18,4,housewares,Northeast,0.0
base,last_week,2018-05-28,2018-05-28,1,housewares,South,0.0
base,last_week,2018-05-28,2018-06-04,2,housewares,South,0.0
base,last_week,2018-05-28,2018-06-11,3,housewares,South,0.0
base,last_week,2018-05-28,2018-06-18,4,housewares,South,0.0
base,last_week,2018-05-28,2018-05-28,1,housewares,Southeast,0.0
base,last_week,2018-05-28,2018-06-04,2,housewares,Southeast,0.0
base,last_week,2018-05-28,2018-06-11,3,housewares,Southeast,0.0
base,last_week,2018-05-28,2018-06-18,4,housewares,Southeast,0.0
base,last_week,2018-05-28,2018-05-28,1,sports_leisure,Central-West,0.0
base,last_week,2018-05-28,2018-06-04,2,sports_leisure,Central-West,0.0
base,last_week,2018-05-28,2018-06-11,3,sports_leisure,Central-West,0.0
base,last_week,2018-05-28,2018-06-18,4,sports_leisure,Central-West,0.0
base,last_week,2018-05-28,2018-05-28,1,sports_leisure,North,0.0
base,last_week,2018-05-28,2018-06-04,2,sports_leisure,North,0.0
base,last_week,2018-05-28,2018-06-11,3,sports_leisure,North,0.0
base,last_week,2018-05-28,2018-06-18,4,sports_leisure,North,0.0
base,last_week,2018-05-28,2018-05-28,1,sports_leisure,Northeast,0.0
base,last_week,2018-05-28,2018-06-04,2,sports_leisure,Northeast,0.0
base,last_week,2018-05-28,2018-06-11,3,sports_leisure,Northeast,0.0
base,last_week,2018-05-28,2018-06-18,4,sports_leisure,Northeast,0.0
base,last_week,2018-05-28,2018-05-28,1,sports_leisure,South,0.0
base,last_week,2018-05-28,2018-06-04,2,sports_leisure,South,0.0
base,last_week,2018-05-28,2018-06-11,3,sports_leisure,South,0.0
base,last_week,2018-05-28,2018-06-18,4,sports_leisure,South,0.0
base,last_week,2018-05-28,2018-05-28,1,sports_leisure,Southeast,0.0
base,last_week,2018-05-28,2018-06-04,2,sports_leisure,Southeast,0.0
base,last_week,2018-05-28,2018-06-11,3,sports_leisure,Southeast,0.0
base,last_week,2018-05-28,2018-06-18,4,sports_leisure,Southeast,0.0
base,last_week,2018-05-28,2018-05-28,1,telephony,Central-West,0.0
base,last_week,2018-05-28,2018-06-04,2,telephony,Central-West,0.0
base,last_week,2018-05-28,2018-06-11,3,telephony,Central-West,0.0
base,last_week,2018-05-28,2018-06-18,4,telephony,Central-West,0.0
base,last_week,2018-05-28,2018-05-28,1,telephony,North,0.0
base,last_week,2018-05-28,2018-06-04,2,telephony,North,0.0
base,last_week,2018-05-28,2018-06-11,3,telephony,North,0.0
base,last_week,2018-05-28,2018-06-18,4,telephony,North,0.0
base,last_week,2018-05-28,2018-05-28,1,telephony,Northeast,0.0
base,last_week,2018-05-28,2018-06-04,2,telephony,Northeast,0.0
base,last_week,2018-05-28,2018-06-11,3,telephony,Northeast,0.0
base,last_week,2018-05-28,2018-06-18,4,telephony,Northeast,0.0
base,last_week,2018-05-28,2018-05-28,1,telephony,South,0.0
base,last_week,2018-05-28,2018-06-04,2,telephony,South,0.0
base,last_week,2018-05-28,2018-06-11,3,telephony,South,0.0
base,last_week,2018-05-28,2018-06-18,4,telephony,South,0.0
base,last_week,2018-05-28,2018-05-28,1,telephony,Southeast,0.0
base,last_week,2018-05-28,2018-06-04,2,telephony,Southeast,0.0
base,last_week,2018-05-28,2018-06-11,3,telephony,Southeast,0.0
base,last_week,2018-05-28,2018-06-18,4,telephony,Southeast,0.0
base,last_week,2018-05-28,2018-05-28,1,watches_gifts,Central-West,0.0
base,last_week,2018-05-28,2018-06-04,2,watches_gifts,Central-West,0.0
base,last_week,2018-05-28,2018-06-11,3,watches_gifts,Central-West,0.0
base,last_week,2018-05-28,2018-06-18,4,watches_gifts,Central-West,0.0
base,last_week,2018-05-28,2018-05-28,1,watches_gifts,North,0.0
base,last_week,2018-05-28,2018-06-04,2,watches_gifts,North,0.0
base,last_week,2018-05-28,2018-06-11,3,watches_gifts,North,0.0
base,last_week,2018-05-28,2018-06-18,4,watches_gifts,North,0.0
base,last_week,2018-05-28,2018-05-28,1,watches_gifts,Northeast,0.0
base,last_week,2018-05-28,2018-06-04,2,watches_gifts,Northeast,0.0
base,last_week,2018-05-28,2018-06-11,3,watches_gifts,Northeast,0.0
base,last_week,2018-05-28,2018-06-18,4,watches_gifts,Northeast,0.0
base,last_week,2018-05-28,2018-05-28,1,watches_gifts,South,0.0
base,last_week,2018-05-28,2018-06-04,2,watches_gifts,South,0.0
base,last_week,2018-05-28,2018-06-11,3,watches_gifts,South,0.0
base,last_week,2018-05-28,2018-06-18,4,watches_gifts,South,0.0
