scenario,policy,origin_week,target_week,horizon,region,service_gap
base,last_week,2018-07-02,2018-07-16,3,North,0.0
base,last_week,2018-07-02,2018-07-23,4,North,0.0
base,last_week,2018-07-02,2018-07-02,1,Northeast,0.3
base,last_week,2018-07-02,2018-07-09,2,Northeast,0.0
base,last_week,2018-07-02,2018-07-16,3,Northeast,0.0
base,last_week,2018-07-02,2018-07-23,4,Northeast,0.0
base,last_week,2018-07-02,2018-07-02,1,South,0.0
base,last_week,2018-07-02,2018-07-09,2,South,0.0
base,last_week,2018-07-02,2018-07-16,3,South,0.0
base,last_week,2018-07-02,2018-07-23,4,South,0.0
base,last_week,2018-07-02,2018-07-02,1,Southeast,0.0
base,last_week,2018-07-02,2018-07-09,2,Southeast,0.0
base,last_week,2018-07-02,2018-07-16,3,Southeast,0.0
base,last_week,2018-07-02,2018-07-23,4,Southeast,0.0
base,last_week,2018-07-09,2018-07-09,1,Central-West,0.0
base,last_week,2018-07-09,2018-07-16,2,Central-West,0.0
base,last_week,2018-07-09,2018-07-23,3,Central-West,0.0
base,last_week,2018-07-09,2018-07-30,4,Central-West,0.0
base,last_week,2018-07-09,2018-07-09,1,North,0.0
base,last_week,2018-07-09,2018-07-16,2,North,0.0
base,last_week,2018-07-09,2018-07-23,3,North,0.0
base,last_week,2018-07-09,2018-07-30,4,North,0.0
base,last_week,2018-07-09,2018-07-09,1,Northeast,0.0
base,last_week,2018-07-09,2018-07-16,2,Northeast,0.0
base,last_week,2018-07-09,2018-07-23,3,Northeast,0.0
base,last_week,2018-07-09,2018-07-30,4,Northeast,0.0
base,last_week,2018-07-09,2018-07-09,1,South,0.0
base,last_week,2018-07-09,2018-07-16,2,South,0.0
base,last_week,2018-07-09,2018-07-23,3,South,0.0
base,last_week,2018-07-09,2018-07-30,4,South,0.0
base,last_week,2018-07-09,2018-07-09,1,Southeast,0.0
base,last_week,2018-07-09,2018-07-16,2,Southeast,0.0
base,last_week,2018-07-09,2018-07-23,3,Southeast,0.0
base,last_week,2018-07-09,2018-07-30,4,Southeast,0.0
base,last_week,2018-07-16,2018-07-16,1,Central-West,0.0
base,last_week,2018-07-16,2018-07-23,2,Central-West,0.0
base,last_week,2018-07-16,2018-07-30,3,Central-West,0.0
base,last_week,2018-07-16,2018-08-06,4,Central-West,0.0
base,last_week,2018-07-16,2018-07-16,1,North,0.0
base,last_week,2018-07-16,2018-07-23,2,North,0.0
base,last_week,2018-07-16,2018-07-30,3,North,0.0
base,last_week,2018-07-16,2018-08-06,4,North,0.0
base,last_week,2018-07-16,2018-07-16,1,Northeast,0.4
base,last_week,2018-07-16,2018-07-23,2,Northeast,0.0
base,last_week,2018-07-16,2018-07-30,3,Northeast,0.0
base,last_week,2018-07-16,2018-08-06,4,Northeast,0.0
base,last_week,2018-07-16,2018-07-16,1,South,0.0
base,last_week,2018-07-16,2018-07-23,2,South,0.0
base,last_week,2018-07-16,2018-07-30,3,South,0.0
base,last_week,2018-07-16,2018-08-06,4,South,0.0
base,last_week,2018-07-16,2018-07-16,1,Southeast,0.0
base,last_week,2018-07-16,2018-07-23,2,Southeast,0.0
base,last_week,2018-07-16,2018-07-30,3,Southeast,0.0
base,last_week,2018-07-16,2018-08-06,4,Southeast,0.0
base,last_week,2018-07-23,2018-07-23,1,Central-West,63.8
base,last_week,2018-07-23,2018-07-30,2,Central-West,0.0
base,last_week,2018-07-23,2018-08-06,3,Central-West,0.0
base,last_week,2018-07-23,2018-08-13,4,Central-West,0.0
base,last_week,2018-07-23,2018-07-23,1,North,28.2
base,last_week,2018-07-23,2018-07-30,2,North,0.0
base,last_week,2018-07-23,2018-08-06,3,North,0.0
base,last_week,2018-07-23,2018-08-13,4,North,0.0
base,last_week,2018-07-23,2018-07-23,1,Northeast,107.2
base,last_week,2018-07-23,2018-07-30,2,Northeast,0.0
base,last_week,2018-07-23,2018-08-06,3,Northeast,0.0
base,last_week,2018-07-23,2018-08-13,4,Northeast,0.0
base,last_week,2018-07-23,2018-07-23,1,South,48.5
base,last_week,2018-07-23,2018-07-30,2,South,0.0
base,last_week,2018-07-23,2018-08-06,3,South,0.0
base,last_week,2018-07-23,2018-08-13,4,South,0.0
base,last_week,2018-07-23,2018-07-23,1,Southeast,165.4
base,last_week,2018-07-23,2018-07-30,2,Southeast,0.0
base,last_week,2018-07-23,2018-08-06,3,Southeast,0.0
base,last_week,2018-07-23,2018-08-13,4,Southeast,0.0
base,last_week,2018-07-30,2018-07-30,1,Central-West,0.0
base,last_week,2018-07-30,2018-08-06,2,Central-West,0.0
base,last_week,2018-07-30,2018-08-13,3,Central-West,0.0
base,last_week,2018-07-30,2018-08-20,4,Central-West,0.0
base,last_week,2018-07-30,2018-07-30,1,North,0.3
base,last_week,2018-07-30,2018-08-06,2,North,0.0
base,last_week,2018-07-30,2018-08-13,3,North,0.0
base,last_week,2018-07-30,2018-08-20,4,North,0.0
base,last_week,2018-07-30,2018-07-30,1,Northeast,0.0
base,last_week,2018-07-30,2018-08-06,2,Northeast,0.0
base,last_week,2018-07-30,2018-08-13,3,Northeast,0.0
base,last_week,2018-07-30,2018-08-20,4,Northeast,0.0
base,last_week,2018-07-30,2018-07-30,1,South,0.0
base,last_week,2018-07-30,2018-08-06,2,South,0.0
base,last_week,2018-07-30,2018-08-13,3,South,0.0
base,last_week,2018-07-30,2018-08-20,4,South,0.0
base,last_week,2018-07-30,2018-07-30,1,Southeast,0.0
base,last_week,2018-07-30,2018-08-06,2,Southeast,0.0
base,last_week,2018-07-30,2018-08-13,3,Southeast,0.0
base,last_week,2018-07-30,2018-08-20,4,Southeast,0.0
base,last_week,2018-08-06,2018-08-06,1,Central-West,37.2
base,last_week,2018-08-06,2018-08-13,2,Central-West,0.0
base,last_week,2018-08-06,2018-08-20,3,Central-West,0.0
base,last_week,2018-08-06,2018-08-27,4,Central-West,0.0
base,last_week,2018-08-06,2018-08-06,1,North,35.4
base,last_week,2018-08-06,2018-08-13,2,North,0.0
base,last_week,2018-08-06,2018-08-20,3,North,0.0
base,last_week,2018-08-06,2018-08-27,4,North,0.0
base,last_week,2018-08-06,2018-08-06,1,Northeast,121.6
base,last_week,2018-08-06,2018-08-13,2,Northeast,0.0
base,last_week,2018-08-06,2018-08-20,3,Northeast,0.0
base,last_week,2018-08-06,2018-08-27,4,Northeast,0.0
base,last_week,2018-08-06,2018-08-06,1,South,0.5
base,last_week,2018-08-06,2018-08-13,2,South,0.0
base,last_week,2018-08-06,2018-08-20,3,South,0.0
base,last_week,2018-08-06,2018-08-27,4,South,0.0
base,last_week,2018-08-06,2018-08-06,1,Southeast,0.0
base,last_week,2018-08-06,2018-08-13,2,Southeast,0.0
base,last_week,2018-08-06,2018-08-20,3,Southeast,0.0
base,last_week,2018-08-06,2018-08-27,4,Southeast,0.0
base,last_week,2018-08-13,2018-08-13,1,Central-West,0.2
base,last_week,2018-08-13,2018-08-20,2,Central-West,0.0
base,last_week,2018-08-13,2018-08-27,3,Central-West,0.0
base,last_week,2018-08-13,2018-09-03,4,Central-West,0.0
base,last_week,2018-08-13,2018-08-13,1,North,0.3
base,last_week,2018-08-13,2018-08-20,2,North,0.0
base,last_week,2018-08-13,2018-08-27,3,North,0.0
base,last_week,2018-08-13,2018-09-03,4,North,0.0
base,last_week,2018-08-13,2018-08-13,1,Northeast,0.0
base,last_week,2018-08-13,2018-08-20,2,Northeast,0.0
base,last_week,2018-08-13,2018-08-27,3,Northeast,0.0
base,last_week,2018-08-13,2018-09-03,4,Northeast,0.0
base,last_week,2018-08-13,2018-08-13,1,South,0.1
base,last_week,2018-08-13,2018-08-20,2,South,0.0
base,last_week,2018-08-13,2018-08-27,3,South,0.0
base,last_week,2018-08-13,2018-09-03,4,South,0.0
base,last_week,2018-08-13,2018-08-13,1,Southeast,0.0
base,last_week,2018-08-13,2018-08-20,2,Southeast,0.0
base,last_week,2018-08-13,2018-08-27,3,Southeast,0.0
base,last_week,2018-08-13,2018-09-03,4,Southeast,0.0
base,last_week,2018-08-20,2018-08-20,1,Central-West,0.0
base,last_week,2018-08-20,2018-08-27,2,Central-West,0.0
base,last_week,2018-08-20,2018-09-03,3,Central-West,0.0
base,last_week,2018-08-20,2018-09-10,4,Central-West,0.0
base,last_week,2018-08-20,2018-08-20,1,North,0.4
base,last_week,2018-08-20,2018-08-27,2,North,0.0
base,last_week,2018-08-20,2018-09-03,3,North,0.0
base,last_week,2018-08-20,2018-09-10,4,North,0.0
base,last_week,2018-08-20,2018-08-20,1,Northeast,0.0
base,last_week,2018-08-20,2018-08-27,2,Northeast,0.0
base,last_week,2018-08-20,2018-09-03,3,Northeast,0.0
base,last_week,2018-08-20,2018-09-10,4,Northeast,0.0
base,last_week,2018-08-20,2018-08-20,1,South,0.0
base,last_week,2018-08-20,2018-08-27,2,South,0.0
base,last_week,2018-08-20,2018-09-03,3,South,0.0
base,last_week,2018-08-20,2018-09-10,4,South,0.0
base,last_week,2018-08-20,2018-08-20,1,Southeast,0.0
base,last_week,2018-08-20,2018-08-27,2,Southeast,0.0
base,last_week,2018-08-20,2018-09-03,3,Southeast,0.0
base,last_week,2018-08-20,2018-09-10,4,Southeast,0.0
base,moving_average,2018-05-28,2018-05-28,1,Central-West,0.0
base,moving_average,2018-05-28,2018-06-04,2,Central-West,0.0
base,moving_average,2018-05-28,2018-06-11,3,Central-West,0.0
base,moving_average,2018-05-28,2018-06-18,4,Central-West,0.0
base,moving_average,2018-05-28,2018-05-28,1,North,0.2
base,moving_average,2018-05-28,2018-06-04,2,North,0.0
base,moving_average,2018-05-28,2018-06-11,3,North,0.0
base,moving_average,2018-05-28,2018-06-18,4,North,0.0
base,moving_average,2018-05-28,2018-05-28,1,Northeast,0.0
base,moving_average,2018-05-28,2018-06-04,2,Northeast,0.0
base,moving_average,2018-05-28,2018-06-11,3,Northeast,0.0
base,moving_average,2018-05-28,2018-06-18,4,Northeast,0.0
base,moving_average,2018-05-28,2018-05-28,1,South,0.0
base,moving_average,2018-05-28,2018-06-04,2,South,0.0
base,moving_average,2018-05-28,2018-06-11,3,South,0.0
base,moving_average,2018-05-28,2018-06-18,4,South,0.0
base,moving_average,2018-05-28,2018-05-28,1,Southeast,0.0
base,moving_average,2018-05-28,2018-06-04,2,Southeast,0.0
base,moving_average,2018-05-28,2018-06-11,3,Southeast,0.0
base,moving_average,2018-05-28,2018-06-18,4,Southeast,0.0
base,moving_average,2018-06-04,2018-06-04,1,Central-West,0.0
base,moving_average,2018-06-04,2018-06-11,2,Central-West,0.0
base,moving_average,2018-06-04,2018-06-18,3,Central-West,0.0
base,moving_average,2018-06-04,2018-06-25,4,Central-West,0.0
