hub,category,region,shipping_cost,late_probability
MG,bed_bath_table,Northeast,25.25,0.08321223478393955
MG,bed_bath_table,South,22.245,0.04416108777294521
MG,bed_bath_table,Southeast,15.7,0.04817529483438499
MG,computers_accessories,Central-West,18.28,0.055498452174540594
MG,computers_accessories,North,27.89,0.07282887021835617
MG,computers_accessories,Northeast,22.134999999999998,0.08518692134601127
MG,computers_accessories,South,19.98,0.045109623406118717
MG,computers_accessories,Southeast,15.79,0.03524048767221866
MG,furniture_decor,Central-West,17.73,0.05978608777294521
MG,furniture_decor,North,128.535,0.07638674641806739
MG,furniture_decor,Northeast,24.55,0.1611555393203097
MG,furniture_decor,South,26.89,0.0530363694227307
MG,furniture_decor,Southeast,17.97,0.05935024251652321
MG,garden_tools,Central-West,38.25,0.05034617917721702
MG,garden_tools,North,81.43,0.07065774043671233
MG,garden_tools,Northeast,50.5,0.09906721034770245
MG,garden_tools,South,50.6,0.07826309617468494
MG,garden_tools,Southeast,28.89,0.06209793892932521
MG,health_beauty,Central-West,17.880000000000003,0.05652619234936987
MG,health_beauty,North,38.89,0.07246947737098701
MG,health_beauty,Northeast,23.255000000000003,0.05101746156624658
MG,health_beauty,South,17.775,0.08443926981838397
MG,health_beauty,Southeast,15.39,0.03519735005198956
MG,housewares,Central-West,18.63,0.04027694334177361
MG,housewares,North,36.82,0.061441513423228115
MG,housewares,Northeast,31.28,0.1076379221642499
MG,housewares,South,23.98,0.09942875672456196
MG,housewares,Southeast,18.37,0.057721488428634005
MG,sports_leisure,Central-West,17.58,0.040375851678121334
MG,sports_leisure,North,34.18,0.11771486871874375
MG,sports_leisure,Northeast,22.85,0.06132957492072098
MG,sports_leisure,South,18.54,0.03211715474396015
MG,sports_leisure,Southeast,15.7,0.10608281316248223
MG,telephony,Central-West,15.945,0.07437656888074982
MG,telephony,North,16.11,0.08075170335624267
MG,telephony,Northeast,17.13,0.07065774043671233
MG,telephony,South,16.79,0.07437656888074982
MG,telephony,Southeast,15.1,0.15690303793432597
MG,watches_gifts,Central-West,21.865,0.05652619234936987
MG,watches_gifts,North,37.4,0.10341377344509442
MG,watches_gifts,Northeast,23.46,0.08937610402719433
MG,watches_gifts,South,23.105,0.057679788111601904
MG,watches_gifts,Southeast,18.93,0.040557223676205824
RJ,auto,Central-West,15.825,0.07850860048523593
RJ,auto,North,64.46,0.07638674641806739
RJ,auto,Northeast,25.63,0.09281364648977872
RJ,auto,South,17.63,0.07808795137690804
RJ,auto,Southeast,15.23,0.0752529770910432
RJ,bed_bath_table,Central-West,19.25,0.0642343094879203
RJ,bed_bath_table,North,44.2,0.07850860048523593
RJ,bed_bath_table,Northeast,31.445,0.0689343809138657
RJ,bed_bath_table,South,16.79,0.04790355283844904
RJ,bed_bath_table,Southeast,16.11,0.033988095897665445
RJ,computers_accessories,Central-West,19.49,0.058881450363926946
RJ,computers_accessories,North,30.86,0.07246947737098701
RJ,computers_accessories,Northeast,36.225,0.057679788111601904
RJ,computers_accessories,South,19.29,0.06832695745479453
RJ,computers_accessories,Southeast,15.77,0.10849825337127057
RJ,furniture_decor,Central-West,16.29,0.07246947737098701
RJ,furniture_decor,North,71.44,0.10341377344509442
RJ,furniture_decor,Northeast,21.15,0.07971478369726027
